Formula,Ag,As,Bi,Cu,Ge,In,Pb,S,Sb,Se,Sn,Te,Ti,V,k(W/Km),,,,,,,,,,
Ag0.01Sn0.99Se0.8S0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.99,0.0,0.0,0.0,0.199,,,,,,,,,,
Ag0.01Sn0.99Se0.9S0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.99,0.0,0.0,0.0,0.332,,,,,,,,,,
Ag0.02Cu1.955S0.5Se0.5,0.02,0.0,0.0,1.955,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.446,,,,,,,,,,
Ag0.03Cu1.945S0.5Se0.5,0.03,0.0,0.0,1.945,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.313,,,,,,,,,,
Ag0.94CuSe,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.667,,,,,,,,,,
Ag0.97CuSe,0.97,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.465,,,,,,,,,,
Ag2.0Se0.5Te0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.61,,,,,,,,,,
Ag2.0Se0.6Te0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.67,,,,,,,,,,
Ag2.0Se0.8Te0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.75,,,,,,,,,,
Ag2.0Se0.9Te0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.79,,,,,,,,,,
Ag2Se,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.15,,,,,,,,,,
Ag2Se0.98,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,1.074,,,,,,,,,,
Ag2Se1.0025,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0025,0.0,0.0,0.0,0.0,0.912,,,,,,,,,,
Ag2Se1.01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,1.02,,,,,,,,,,
Ag2Se1.02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.975,,,,,,,,,,
Ag2Se1.03,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.988,,,,,,,,,,
Ag2Se1.04,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.944,,,,,,,,,,
Ag2Se1.06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.907,,,,,,,,,,
Ag8GeTe6,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.253,,,,,,,,,,
Ag8SnSe6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.213,,,,,,,,,,
AgBi0.7Sb0.3Se2,1.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,2.0,0.0,0.0,0.0,0.0,0.482,,,,,,,,,,
AgBi0.85Sb0.15Se2,1.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.15,2.0,0.0,0.0,0.0,0.0,0.421,,,,,,,,,,
AgBi0.94Pb0.06Se2.12,1.0,0.0,0.94,0.0,0.0,0.0,0.06,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.6,,,,,,,,,,
AgBi0.95Pb0.05Se2.12,1.0,0.0,0.95,0.0,0.0,0.0,0.05,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.57,,,,,,,,,,
AgBi0.95Sb0.05Se2,1.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.05,2.0,0.0,0.0,0.0,0.0,0.488,,,,,,,,,,
AgBi0.96Pb0.04Se2.12,1.0,0.0,0.96,0.0,0.0,0.0,0.04,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.548,,,,,,,,,,
AgBi0.97Pb0.03Se2.12,1.0,0.0,0.97,0.0,0.0,0.0,0.03,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.517,,,,,,,,,,
AgBi0.98Pb0.02Se2.12,1.0,0.0,0.98,0.0,0.0,0.0,0.02,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.504,,,,,,,,,,
AgBi0.99Pb0.01Se2.12,1.0,0.0,0.99,0.0,0.0,0.0,0.01,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.556,,,,,,,,,,
AgBi0.9Sb0.1Se2,1.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,0.0,0.0,0.0,0.464,,,,,,,,,,
AgBiSe2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.53,,,,,,,,,,
AgBiSe2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.645,,,,,,,,,,
AgBiSe2.12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.639,,,,,,,,,,
AgCuSe,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.661,,,,,,,,,,
AgCuTe,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.072,,,,,,,,,,
AgCuTe0.5Se0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.341,,,,,,,,,,
AgCuTe0.6Se0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.536,,,,,,,,,,
AgCuTe0.7Se0.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7,0.0,0.0,0.468,,,,,,,,,,
AgCuTe0.8Se0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.635,,,,,,,,,,
AgCuTe0.9Se0.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.453,,,,,,,,,,
AgSbTe2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.976,,,,,,,,,,
AgSn15.0BiTe17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,0.0,0.0,2.6,,,,,,,,,,
AgSn25.0BiTe27.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,27.0,0.0,0.0,3.41,,,,,,,,,,
AgSn5.0BiTe7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,1.61,,,,,,,,,,
