Formula,Ag,As,Bi,Cu,Ge,In,Pb,S,Sb,Se,Sn,Te,Ti,V,k(W/Km),,,,,,,,,,
Cu5SnSbSe6.79,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,6.79,1.0,0.0,0.0,0.0,4.724,,,,,,,,,,
Cu5SnSbSe7,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,5.267,,,,,,,,,,
CuAgTe0.5Se0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.467,,,,,,,,,,
CuAgTe0.6Se0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.452,,,,,,,,,,
CuAgTe0.7Se0.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7,0.0,0.0,0.393,,,,,,,,,,
Ge0.55Pb0.45Te,0.0,0.0,0.0,0.0,0.55,0.0,0.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.506,,,,,,,,,,
Ge0.55Pb0.45Te0.2Se0.8,0.0,0.0,0.0,0.0,0.55,0.0,0.45,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.805,,,,,,,,,,
Ge0.55Pb0.45Te0.3Se0.7,0.0,0.0,0.0,0.0,0.55,0.0,0.45,0.0,0.0,0.7,0.0,0.3,0.0,0.0,0.788,,,,,,,,,,
Ge0.55Pb0.45Te0.4Se0.6,0.0,0.0,0.0,0.0,0.55,0.0,0.45,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.908,,,,,,,,,,
Ge0.55Pb0.45Te0.5Se0.5,0.0,0.0,0.0,0.0,0.55,0.0,0.45,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.668,,,,,,,,,,
Ge0.55Pb0.45Te0.8Se0.2,0.0,0.0,0.0,0.0,0.55,0.0,0.45,0.0,0.0,0.2,0.0,0.8,0.0,0.0,1.028,,,,,,,,,,
Ge0.55Sb0.25Te0.8(AgSnSe2)0.2,0.2,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.25,0.4,0.2,0.8,0.0,0.0,0.757,,,,,,,,,,
Ge0.58Sb0.22Te0.8(AgSnSe2)0.2,0.2,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.22,0.4,0.2,0.8,0.0,0.0,0.74,,,,,,,,,,
Ge0.6Sb0.2Te0.8(AgSnSe2)0.2,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.4,0.2,0.8,0.0,0.0,0.827,,,,,,,,,,
Ge0.83In0.05Pb0.12Te,0.0,0.0,0.0,0.0,0.83,0.05,0.12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.973,,,,,,,,,,
Ge0.85In0.05Pb0.1Te,0.0,0.0,0.0,0.0,0.85,0.05,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.973,,,,,,,,,,
Ge0.87In0.05Pb0.08Te,0.0,0.0,0.0,0.0,0.87,0.05,0.08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.16,,,,,,,,,,
Ge0.89In0.05Pb0.06Te,0.0,0.0,0.0,0.0,0.89,0.05,0.06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.287,,,,,,,,,,
Ge0.99Te,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.7,,,,,,,,,,
Ge1.04Te,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.24,,,,,,,,,,
Ge9Sb2Te12,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,2.899,,,,,,,,,,
GeSe,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.845,,,,,,,,,,
GeSe0.55Te0.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.55,0.0,0.45,0.0,0.0,2.738,,,,,,,,,,
GeSe0.5Te0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,2.956,,,,,,,,,,
GeSe0.65Te0.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.65,0.0,0.35,0.0,0.0,1.888,,,,,,,,,,
GeSe0.6Te0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,2.956,,,,,,,,,,
GeSe0.75Te0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,1.685,,,,,,,,,,
GeSe0.7Te0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.0,1.641,,,,,,,,,,
GeSe0.85Te0.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.85,0.0,0.15,0.0,0.0,2.0,,,,,,,,,,
GeSe0.8Te0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,2.014,,,,,,,,,,
GeSe0.95Te0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.95,0.0,0.05,0.0,0.0,1.913,,,,,,,,,,
GeSe0.9Te0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,1.932,,,,,,,,,,
GeTe,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.043,,,,,,,,,,
In3.94Pb0.06Se3,0.0,0.0,0.0,0.0,0.0,3.94,0.06,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.52,,,,,,,,,,
In3.95Pb0.05Se3,0.0,0.0,0.0,0.0,0.0,3.95,0.05,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.055,,,,,,,,,,
In3.96Pb0.04Se3,0.0,0.0,0.0,0.0,0.0,3.96,0.04,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.243,,,,,,,,,,
In3.99Pb0.01Se3,0.0,0.0,0.0,0.0,0.0,3.99,0.01,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.12,,,,,,,,,,
Pb6Bi2Se9,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.125,,,,,,,,,,
PbTe,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.165,,,,,,,,,,
Sb0.05Ge0.95Te,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.05,0.0,0.0,1.0,0.0,0.0,3.691,,,,,,,,,,
Sb0.15Ge0.85Te,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.15,0.0,0.0,1.0,0.0,0.0,1.2,,,,,,,,,,
Sb0.1Ge0.9Te,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,1.564,,,,,,,,,,
Sn0.92Ge0.04As0.04Te,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.92,1.0,0.0,0.0,7.477,,,,,,,,,,
Sn0.985In0.015Te,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.985,1.0,0.0,0.0,6.378,,,,,,,,,,
Sn1.03Se0.08Te0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1.03,0.92,0.0,0.0,6.308,,,,,,,,,,
Sn1.03Se0.12Te0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,1.03,0.88,0.0,0.0,5.164,,,,,,,,,,
Sn1.03Se0.15Te0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.03,0.85,0.0,0.0,4.874,,,,,,,,,,
Sn1.03Te,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,1.0,0.0,0.0,9.176,,,,,,,,,,
SnS0.88Se0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.12,1.0,0.0,0.0,0.0,2.37,,,,,,,,,,
SnS0.91Se0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.09,1.0,0.0,0.0,0.0,2.3,,,,,,,,,,
SnS0.94Se0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.06,1.0,0.0,0.0,0.0,2.55,,,,,,,,,,
SnS0.97Se0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.03,1.0,0.0,0.0,0.0,2.92,,,,,,,,,,
SnSe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.88,,,,,,,,,,
SnSe0.8S0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.0,0.0,0.0,0.0,1.267,,,,,,,,,,
SnSe0.9S0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,1.0,0.0,0.0,0.0,1.416,,,,,,,,,,
SnTe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.5,,,,,,,,,,
SnTe0.15AgSbSe2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.15,0.0,0.0,2.19,,,,,,,,,,
SnTe0.1AgSbSe2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.1,0.0,0.0,2.445,,,,,,,,,,
SnTe0.25AgSbSe2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.25,0.0,0.0,1.854,,,,,,,,,,
SnTe0.2AgSbSe2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.2,0.0,0.0,1.285,,,,,,,,,,
TiS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,67.8,,,,,,,,,,
